Landmark_ID,View,Side,BodyPart_PL,English_Key,Measurement_PL,Type,Geometry,How_To_Annotate,Status,Used_For,Pairing_Landmark,Output_Metric,Confidence_Rules,Occlusion_Handling,Fit_Relevance,App_Field,Notes
F_NECK_W,FRONT,C,szyja,neck_width_front,szyja — szerokość,W,poziomo,dolna / najwęższa część szyi,CORE,measurement,P_NECK_D,obwód szyi,Jeśli broda/zarost zasłania: medium confidence,occluded→low confidence,"koszule, golfy, kołnierze, garnitury",neck_cm,"Z frontu daje szerokość, do obwodu potrzebny profil"
F_SHOULDERS_W,FRONT,C,ramiona / barki,shoulders_width_front,ramiona — szerokość barków,W,poziomo,od zewnętrznej krawędzi barku do zewnętrznej krawędzi barku,CORE,fit+posture+QA,B_SHOULDERS_W,szerokość ramion / postura,Asymetria L/R albo skręt barków obniża confidence,visible_required,"marynarki, żakiety, garnitury, koszule",shoulders_width_cm,Kluczowe do wykrycia odwróconego trójkąta i dopasowania góry
F_CHEST_W,FRONT,C,klatka piersiowa,chest_width_front,klatka — szerokość,W,poziomo,"przez główną szerokość klatki, mniej więcej linia piersiowa",CORE,measurement+fit,P_CHEST_D,obwód klatki,Luźny T-shirt obniża confidence,loose_clothing→medium/low,"T-shirt, koszule, marynarki, garnitury",chest_cm,Profil musi mierzyć głębokość od pleców do frontu
F_WAIST_W,FRONT,C,talia,waist_width_front,talia — szerokość,W,poziomo,najwęższy widoczny odcinek tułowia,CORE,measurement+fit,P_WAIST_D,obwód talii,Gdy koszulka/falda zasłania: medium/low,loose_clothing→low,"spodnie, spódnice, sukienki, garnitury",waist_cm,Nie mylić z brzuchem; talia jest wyżej niż pas spodni
F_ABDOMEN_W,FRONT,C,brzuch,abdomen_width_front,brzuch — szerokość,W,poziomo,"przez obszar brzucha, jeśli jest istotny dla fitu",EXT,measurement+posture,P_ABDOMEN_D,obwód brzucha,Czułe na ubranie i postawę,confirm_if_low,"bodycon, koszule slim, spodnie z wysokim stanem",abdomen_cm,Warto mierzyć jako osobną partię przy produktach dopasowanych
F_HIPS_W,FRONT,C,biodra,hips_width_front,biodra — szerokość,W,poziomo,"na wysokości bioder / górnej miednicy, nie za nisko",CORE,measurement+fit,P_HIPS_D+B_HIPS_W,obwód bioder,Luźne spodenki/spódnica mocno obniżają confidence,occluded/loose→low,"spodnie, spódnice, sukienki, legginsy",hips_cm,Wymaga profilu i najlepiej tyłu do obwodu
F_UPPERARM_L_W,FRONT,L,ramię lewe pod pachą,left_upperarm_width_front,lewe ramię pod pachą,W,poziomo,"wysoko, tuż pod pachą / otwór rękawa",EXT,fit,none,fit rękawa,Jeśli ręka przy ciele: low confidence,arm_touching_body→low,"koszule, marynarki, żakiety",left_upperarm_cm,Może wnosić mniej niż biceps; używać do sleeve opening
F_UPPERARM_R_W,FRONT,R,ramię prawe pod pachą,right_upperarm_width_front,prawe ramię pod pachą,W,poziomo,"wysoko, tuż pod pachą / otwór rękawa",EXT,fit,none,fit rękawa,Jeśli ręka przy ciele: low confidence,arm_touching_body→low,"koszule, marynarki, żakiety",right_upperarm_cm,Analogicznie do lewej strony
F_BICEPS_L_W,FRONT,L,biceps lewy,left_biceps_width_front,lewy biceps — max,W,poziomo,w najgrubszym miejscu bicepsa,CORE,measurement+fit,P_BICEPS_D,obwód bicepsa L,Ręka zbyt ugięta albo napięta: medium/low,pose_issue→confirm,"rękawy, marynarki, koszule",left_biceps_cm,"L/R osobno, nie uśredniać bez sanity check"
F_BICEPS_R_W,FRONT,R,biceps prawy,right_biceps_width_front,prawy biceps — max,W,poziomo,w najgrubszym miejscu bicepsa,CORE,measurement+fit,P_BICEPS_D,obwód bicepsa R,Ręka zbyt ugięta albo napięta: medium/low,pose_issue→confirm,"rękawy, marynarki, koszule",right_biceps_cm,"L/R osobno, nie uśredniać bez sanity check"
F_FOREARM_L_W,FRONT,L,przedramię lewe,left_forearm_width_front,lewe przedramię,W,poziomo,"główna szerokość przedramienia, nie nadgarstek",EXT,fit,P_FOREARM_D,obwód przedramienia L,Zegarek/akcesoria mogą zaniżyć/zawyżyć,occluded→low,"rękawy slim, mankiety",left_forearm_cm,Przydatne dla wąskich rękawów
F_FOREARM_R_W,FRONT,R,przedramię prawe,right_forearm_width_front,prawe przedramię,W,poziomo,"główna szerokość przedramienia, nie nadgarstek",EXT,fit,P_FOREARM_D,obwód przedramienia R,Zegarek/akcesoria mogą zaniżyć/zawyżyć,occluded→low,"rękawy slim, mankiety",right_forearm_cm,Przydatne dla wąskich rękawów
F_WRIST_L_W,FRONT,L,nadgarstek lewy,left_wrist_width_front,lewy nadgarstek,W,poziomo / lekko po skosie,"najwęższe miejsce końca przedramienia, nie przez dłoń",CORE,measurement+fit,P_WRIST_D,obwód nadgarstka L,Zegarek/biżuteria: occluded,accessory→low/ignore,"mankiety, rękawy",left_wrist_cm,W Twoim standardzie mierzyć nieco wyżej niż dłoń
F_WRIST_R_W,FRONT,R,nadgarstek prawy,right_wrist_width_front,prawy nadgarstek,W,poziomo / lekko po skosie,"najwęższe miejsce końca przedramienia, nie przez dłoń",CORE,measurement+fit,P_WRIST_D,obwód nadgarstka R,Zegarek/biżuteria: occluded,accessory→low/ignore,"mankiety, rękawy",right_wrist_cm,W Twoim standardzie mierzyć nieco wyżej niż dłoń
F_THIGH_L_MAX_W,FRONT,L,udo lewe,left_thigh_max_width_front,lewe udo — najszersze miejsce,W,poziomo,"wysoko, w najwyższym sensownym najszerszym miejscu uda",CORE,measurement+fit,P_THIGH_D+B_THIGH_L_REF,obwód uda L,Dłoń/spodenki zasłaniające: low confidence,occluded/loose→confirm,"spodnie, legginsy, garnitury",left_thigh_cm,"Jeśli zasłonięte dłonią, oznaczyć occluded i nie ufać"
F_THIGH_R_MAX_W,FRONT,R,udo prawe,right_thigh_max_width_front,prawe udo — najszersze miejsce,W,poziomo,"wysoko, w najwyższym sensownym najszerszym miejscu uda",CORE,measurement+fit,P_THIGH_D+B_THIGH_R_REF,obwód uda R,Dłoń/spodenki zasłaniające: low confidence,occluded/loose→confirm,"spodnie, legginsy, garnitury",right_thigh_cm,"Przy luźnych spodenkach to pomiar nogawki, nie uda"
F_CALF_L_MAX_W,FRONT,L,łydka lewa max,left_calf_max_width_front,lewa łydka — max,W,poziomo,"nieco pod kolanem, najszerszy widoczny punkt łydki",CORE,measurement+fit,P_CALF_MAX_D+B_CALF_L_MAX_W,obwód łydki max L,Ustawienie stopy/kolana może zaburzać,pose_issue→medium,"spodnie slim, tapered",left_calf_max_cm,Nie za nisko; dalej pod kolanem
F_CALF_R_MAX_W,FRONT,R,łydka prawa max,right_calf_max_width_front,prawa łydka — max,W,poziomo,"nieco pod kolanem, najszerszy widoczny punkt łydki",CORE,measurement+fit,P_CALF_MAX_D+B_CALF_R_MAX_W,obwód łydki max R,Ustawienie stopy/kolana może zaburzać,pose_issue→medium,"spodnie slim, tapered",right_calf_max_cm,Nie za nisko; dalej pod kolanem
F_CALF_L_MIN_W,FRONT,L,łydka lewa min,left_calf_min_width_front,lewa łydka — min,W,poziomo,najwęższe miejsce łydki nad kostką,CORE,measurement+fit,P_CALF_MIN_D+B_CALF_L_MIN_W,obwód łydki min L,Skarpety mogą wpływać minimalnie,sock→medium,"spodnie tapered, slim",left_calf_min_cm,"Nad kostką, nie na stopie"
F_CALF_R_MIN_W,FRONT,R,łydka prawa min,right_calf_min_width_front,prawa łydka — min,W,poziomo,najwęższe miejsce łydki nad kostką,CORE,measurement+fit,P_CALF_MIN_D+B_CALF_R_MIN_W,obwód łydki min R,Skarpety mogą wpływać minimalnie,sock→medium,"spodnie tapered, slim",right_calf_min_cm,"Nad kostką, nie na stopie"
P_NECK_D,PROFIL,C,szyja,neck_depth_profile,szyja — głębokość / skos,D,po skosie,"najwęższe miejsce szyi w profilu, nie do połowy karku",CORE,measurement,F_NECK_W,obwód szyi,Zarost/broda i głowa pochylona: medium,pose/facial_hair→medium,"kołnierze, golfy",neck_depth_cm,Kluczowy do poprawy obwodu szyi
